,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,Attendance,Time
0,1993-08-14,Southampton,Everton,0.0,2.0,A,,,,,,,
1,1993-08-14,Arsenal,Coventry,0.0,3.0,A,,,,,,,
2,1993-08-14,Aston Villa,QPR,4.0,1.0,H,,,,,,,
3,1993-08-14,Chelsea,Blackburn,1.0,2.0,A,,,,,,,
4,1993-08-14,Liverpool,Sheffield Weds,2.0,0.0,H,,,,,,,
5,1993-08-14,Man City,Leeds,1.0,1.0,D,,,,,,,
6,1993-08-14,Newcastle,Tottenham,0.0,1.0,A,,,,,,,
7,1993-08-14,Oldham,Ipswich,0.0,3.0,A,,,,,,,
8,1993-08-14,Sheffield United,Swindon,3.0,1.0,H,,,,,,,
9,1993-08-14,West Ham,Wimbledon,0.0,2.0,A,,,,,,,
10,1993-08-15,Norwich,Man United,0.0,2.0,A,,,,,,,
11,1993-08-16,Tottenham,Arsenal,0.0,1.0,A,,,,,,,
12,1993-08-17,Wimbledon,Chelsea,1.0,1.0,D,,,,,,,
13,1993-08-17,Leeds,West Ham,1.0,0.0,H,,,,,,,
14,1993-08-17,Everton,Man City,1.0,0.0,H,,,,,,,
15,1993-08-17,Ipswich,Southampton,1.0,0.0,H,,,,,,,
16,1993-08-18,Swindon,Oldham,0.0,1.0,A,,,,,,,
17,1993-08-18,Sheffield Weds,Aston Villa,0.0,0.0,D,,,,,,,
18,1993-08-18,QPR,Liverpool,1.0,3.0,A,,,,,,,
19,1993-08-18,Blackburn,Norwich,2.0,3.0,A,,,,,,,
20,1993-08-18,Coventry,Newcastle,2.0,1.0,H,,,,,,,
21,1993-08-18,Man United,Sheffield United,3.0,0.0,H,,,,,,,
22,1993-08-21,Wimbledon,Aston Villa,2.0,2.0,D,,,,,,,
23,1993-08-21,QPR,Southampton,2.0,1.0,H,,,,,,,
24,1993-08-21,Tottenham,Man City,1.0,0.0,H,,,,,,,
25,1993-08-21,Sheffield Weds,Arsenal,0.0,1.0,A,,,,,,,
26,1993-08-21,Man United,Newcastle,1.0,1.0,D,,,,,,,
27,1993-08-21,Coventry,West Ham,1.0,1.0,D,,,,,,,
28,1993-08-21,Ipswich,Chelsea,1.0,0.0,H,,,,,,,
29,1993-08-21,Everton,Sheffield United,4.0,2.0,H,,,,,,,
30,1993-08-21,Blackburn,Oldham,1.0,0.0,H,,,,,,,
31,1993-08-21,Leeds,Norwich,0.0,4.0,A,,,,,,,
32,1993-08-22,Swindon,Liverpool,0.0,5.0,A,,,,,,,
33,1993-08-23,Aston Villa,Man United,1.0,2.0,A,,,,,,,
34,1993-08-24,Sheffield United,Wimbledon,2.0,1.0,H,,,,,,,
35,1993-08-24,Oldham,Coventry,3.0,3.0,D,,,,,,,
36,1993-08-24,Man City,Blackburn,0.0,2.0,A,,,,,,,
37,1993-08-24,Arsenal,Leeds,2.0,1.0,H,,,,,,,
38,1993-08-25,Chelsea,QPR,2.0,0.0,H,,,,,,,
39,1993-08-25,Liverpool,Tottenham,1.0,2.0,A,,,,,,,
40,1993-08-25,Newcastle,Everton,1.0,0.0,H,,,,,,,
41,1993-08-25,Norwich,Ipswich,1.0,0.0,H,,,,,,,
42,1993-08-25,Southampton,Swindon,5.0,1.0,H,,,,,,,
43,1993-08-25,West Ham,Sheffield Weds,2.0,0.0,H,,,,,,,
44,1993-08-27,Man City,Coventry,1.0,1.0,D,,,,,,,
45,1993-08-28,Sheffield United,Ipswich,1.0,1.0,D,,,,,,,
46,1993-08-28,West Ham,QPR,0.0,4.0,A,,,,,,,
47,1993-08-28,Southampton,Man United,1.0,3.0,A,,,,,,,
48,1993-08-28,Oldham,Wimbledon,1.0,1.0,D,,,,,,,
49,1993-08-28,Liverpool,Leeds,2.0,0.0,H,,,,,,,
50,1993-08-28,Chelsea,Sheffield Weds,1.0,1.0,D,,,,,,,
51,1993-08-28,Aston Villa,Tottenham,1.0,0.0,H,,,,,,,
52,1993-08-28,Arsenal,Everton,2.0,0.0,H,,,,,,,
53,1993-08-28,Norwich,Swindon,0.0,0.0,D,,,,,,,
54,1993-08-29,Newcastle,Blackburn,1.0,1.0,D,,,,,,,
55,1993-08-30,Leeds,Oldham,1.0,0.0,H,,,,,,,
56,1993-08-31,Everton,Aston Villa,0.0,1.0,A,,,,,,,
57,1993-08-31,Ipswich,Newcastle,1.0,1.0,D,,,,,,,
58,1993-08-31,Wimbledon,Southampton,1.0,0.0,H,,,,,,,
59,1993-09-01,Blackburn,Arsenal,1.0,1.0,D,,,,,,,
60,1993-09-01,Coventry,Liverpool,1.0,0.0,H,,,,,,,
61,1993-09-01,Man United,West Ham,3.0,0.0,H,,,,,,,
62,1993-09-01,QPR,Sheffield United,2.0,1.0,H,,,,,,,
63,1993-09-01,Sheffield Weds,Norwich,3.0,3.0,D,,,,,,,
